Rate_Date	Currency	Rate_Year	Rate_Month	Buying_Rate	Central_Rate	Selling_Rate	column8
2005-11-11	US DOLLAR	2005	November	128.5300	129.0300	129.5300	NULL
2005-11-15	US DOLLAR	2005	November	128.5300	129.0300	129.5300	NULL
2005-11-16	US DOLLAR	2005	November	128.5300	129.0300	129.5300	NULL
2005-11-17	US DOLLAR	2005	November	128.5300	129.0300	129.5300	NULL
2005-11-18	US DOLLAR	2005	November	128.5300	129.0300	129.5300	NULL
2005-11-21	US DOLLAR	2005	November	128.5300	129.0300	129.5300	NULL
2005-11-22	US DOLLAR	2005	November	128.5300	129.0300	129.5300	NULL
2005-11-23	US DOLLAR	2005	November	128.0000	128.5000	129.0000	NULL
2005-11-24	US DOLLAR	2005	November	128.0000	128.5000	129.0000	NULL
2005-11-25	US DOLLAR	2005	November	128.0000	128.5000	129.0000	NULL
2005-11-28	US DOLLAR	2005	November	128.0100	128.5100	129.0100	NULL
2005-11-29	US DOLLAR	2005	November	128.0100	128.5100	129.0100	NULL
2005-11-30	US DOLLAR	2005	November	128.0100	128.5100	129.0100	NULL
2005-12-01	US DOLLAR	2005	December	128.0100	128.5100	129.0100	NULL
2005-12-02	US DOLLAR	2005	December	128.0100	128.5100	129.0100	NULL
2005-12-05	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-06	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-07	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-08	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-12	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-13	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-14	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-15	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-16	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-19	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-20	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-21	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-22	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-28	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-29	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2005-12-30	US DOLLAR	2005	December	128.0000	128.5000	129.0000	NULL
2006-01-03	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-04	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-05	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-06	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-09	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-12	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-13	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-16	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-17	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-18	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-19	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-20	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-23	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-24	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-25	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-26	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-27	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-30	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-01-31	US DOLLAR	2006	January	128.0000	128.5000	129.0000	NULL
2006-02-01	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-02	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-03	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-06	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-07	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-08	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-09	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-10	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-13	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-14	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-15	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-16	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-17	US DOLLAR	2006	February	127.5000	128.0000	128.5000	NULL
2006-02-20	US DOLLAR	2006	February	127.0000	127.5000	128.0000	NULL
2006-02-21	US DOLLAR	2006	February	127.0000	127.5000	128.0000	NULL
2006-02-22	US DOLLAR	2006	February	127.0000	127.5000	128.0000	NULL
2006-02-23	US DOLLAR	2006	February	127.0000	127.5000	128.0000	NULL
2006-02-24	US DOLLAR	2006	February	127.0000	127.5000	128.0000	NULL
2006-02-27	US DOLLAR	2006	February	127.0000	127.5000	128.0000	NULL
2006-02-28	US DOLLAR	2006	February	127.0000	127.5000	128.0000	NULL
2006-03-01	US DOLLAR	2006	March	127.0000	127.5000	128.0000	NULL
2006-03-02	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-03	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-06	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-07	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-08	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-09	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-10	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-13	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-14	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-15	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-16	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-17	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-20	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-21	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-22	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-23	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-27	US DOLLAR	2006	March	126.5000	127.0000	127.5000	NULL
2006-03-28	US DOLLAR	2006	March	126.2500	126.7500	127.2500	NULL
2006-03-29	US DOLLAR	2006	March	126.2500	126.7500	127.2500	NULL
2006-03-30	US DOLLAR	2006	March	126.2500	126.7500	127.2500	NULL
2006-03-31	US DOLLAR	2006	March	126.2500	126.7500	127.2500	NULL
2006-04-03	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-04	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-05	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-06	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-07	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-11	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-12	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-13	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-18	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-19	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-20	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-21	US DOLLAR	2006	April	126.2000	126.7000	127.2000	NULL
2006-04-25	US DOLLAR	2006	April	126.1800	126.6800	127.1800	NULL
2006-04-26	US DOLLAR	2006	April	126.1800	126.6800	127.1800	NULL
2006-04-27	US DOLLAR	2006	April	126.1800	126.6800	127.1800	NULL
2006-04-28	US DOLLAR	2006	April	126.1800	126.6800	127.1800	NULL
2006-05-02	US DOLLAR	2006	May	126.1800	126.6800	127.1800	NULL
2006-05-03	US DOLLAR	2006	May	126.1800	126.6800	127.1800	NULL
2006-05-04	US DOLLAR	2006	May	126.1800	126.6800	127.1800	NULL
2006-05-05	US DOLLAR	2006	May	126.1800	126.6800	127.1800	NULL
2006-05-08	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-09	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-10	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-11	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-12	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-15	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-16	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-17	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-18	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-19	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-22	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-23	US DOLLAR	2006	May	126.1700	126.6700	127.1700	NULL
2006-05-24	US DOLLAR	2006	May	126.2000	126.7000	127.2000	NULL
2006-05-25	US DOLLAR	2006	May	126.2000	126.7000	127.2000	NULL
2006-05-26	US DOLLAR	2006	May	126.2100	126.7100	127.2100	NULL
2006-05-30	US DOLLAR	2006	May	126.2100	126.7100	127.2100	NULL
2006-05-31	US DOLLAR	2006	May	126.1900	126.6900	127.1900	NULL
2006-06-01	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-02	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-05	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-06	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-07	US DOLLAR	2006	June	126.1800	126.6800	127.1800	NULL
2006-06-08	US DOLLAR	2006	June	126.1800	126.6800	127.1800	NULL
2006-06-12	US DOLLAR	2006	June	126.1700	126.6700	127.1700	NULL
2006-06-13	US DOLLAR	2006	June	126.1700	126.6700	127.1700	NULL
2006-06-14	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-15	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-16	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-19	US DOLLAR	2006	June	126.1800	126.6800	127.1800	NULL
2006-06-20	US DOLLAR	2006	June	126.1800	126.6800	127.1800	NULL
2006-06-21	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-22	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-23	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-26	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-27	US DOLLAR	2006	June	126.1900	126.6900	127.1900	NULL
2006-06-28	US DOLLAR	2006	June	126.1700	126.6700	127.1700	NULL
2006-06-29	US DOLLAR	2006	June	126.1700	126.6700	127.1700	NULL
2006-06-30	US DOLLAR	2006	June	126.1700	126.6700	127.1700	NULL
2006-07-03	US DOLLAR	2006	July	126.1700	126.6700	127.1700	NULL
2006-07-04	US DOLLAR	2006	July	126.1700	126.6700	127.1700	NULL
2006-07-05	US DOLLAR	2006	July	126.1500	126.6500	127.1500	NULL
2006-07-06	US DOLLAR	2006	July	126.1500	126.6500	127.1500	NULL
2006-07-07	US DOLLAR	2006	July	126.1500	126.6500	127.1500	NULL
2006-07-10	US DOLLAR	2006	July	126.1500	126.6500	127.1500	NULL
2006-07-11	US DOLLAR	2006	July	126.1500	126.6500	127.1500	NULL
2006-07-12	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-13	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-14	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-17	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-18	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-19	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-20	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-21	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-24	US DOLLAR	2006	July	126.0900	126.5900	127.0900	NULL
2006-07-25	US DOLLAR	2006	July	126.0900	126.5900	127.0900	NULL
2006-07-26	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-27	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-28	US DOLLAR	2006	July	126.1000	126.6000	127.1000	NULL
2006-07-31	US DOLLAR	2006	July	126.0900	126.5900	127.0900	NULL
2006-08-01	US DOLLAR	2006	August	126.0900	126.5900	127.0900	NULL
2006-08-02	US DOLLAR	2006	August	126.0900	126.5900	127.0900	NULL
2006-08-04	US DOLLAR	2006	August	126.0900	126.5900	127.0900	NULL
2006-08-07	US DOLLAR	2006	August	126.0700	126.5700	127.0700	NULL
2006-08-08	US DOLLAR	2006	August	126.0700	126.5700	127.0700	NULL
2006-08-09	US DOLLAR	2006	August	126.0700	126.5700	127.0700	NULL
2006-08-10	US DOLLAR	2006	August	126.0700	126.5700	127.0700	NULL
2006-08-11	US DOLLAR	2006	August	126.0700	126.5700	127.0700	NULL
2006-08-14	US DOLLAR	2006	August	126.0700	126.5700	127.0700	NULL
2006-08-15	US DOLLAR	2006	August	126.0700	126.5700	127.0700	NULL
2006-08-16	US DOLLAR	2006	August	126.0600	126.5600	127.0600	NULL
2006-08-17	US DOLLAR	2006	August	126.0600	126.5600	127.0600	NULL
2006-08-18	US DOLLAR	2006	August	126.0600	126.5600	127.0600	NULL
2006-08-21	US DOLLAR	2006	August	126.0600	126.5600	127.0600	NULL
2006-08-22	US DOLLAR	2006	August	126.0600	126.5600	127.0600	NULL
2006-08-23	US DOLLAR	2006	August	126.0400	126.5400	127.0400	NULL
2006-08-24	US DOLLAR	2006	August	126.0400	126.5400	127.0400	NULL
2006-08-25	US DOLLAR	2006	August	126.0400	126.5400	127.0400	NULL
2006-08-28	US DOLLAR	2006	August	126.0300	126.5300	127.0300	NULL
2006-08-29	US DOLLAR	2006	August	126.0300	126.5300	127.0300	NULL
2006-08-30	US DOLLAR	2006	August	126.0200	126.5200	127.0200	NULL
2006-08-31	US DOLLAR	2006	August	126.0200	126.5200	127.0200	NULL
2006-09-01	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-04	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-05	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-06	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-07	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-08	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-11	US DOLLAR	2006	September	126.0300	126.5300	127.0300	NULL
2006-09-12	US DOLLAR	2006	September	126.0300	126.5300	127.0300	NULL
2006-09-13	US DOLLAR	2006	September	126.0400	126.5400	127.0400	NULL
2006-09-14	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-15	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-18	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-19	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-20	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-21	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-22	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-25	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-26	US DOLLAR	2006	September	126.0200	126.5200	127.0200	NULL
2006-09-27	US DOLLAR	2006	September	126.0100	126.5100	127.0100	NULL
2006-09-28	US DOLLAR	2006	September	126.0000	126.5000	127.0000	NULL
2006-09-29	US DOLLAR	2006	September	126.0000	126.5000	127.0000	NULL
2006-10-03	US DOLLAR	2006	October	126.0000	126.5000	127.0000	NULL
2006-10-04	US DOLLAR	2006	October	126.0100	126.5100	127.0100	NULL
2006-10-05	US DOLLAR	2006	October	126.0100	126.5100	127.0100	NULL
2006-10-06	US DOLLAR	2006	October	126.0100	126.5100	127.0100	NULL
2006-10-09	US DOLLAR	2006	October	126.0100	126.5100	127.0100	NULL
2006-10-10	US DOLLAR	2006	October	126.0100	126.5100	127.0100	NULL
2006-10-11	US DOLLAR	2006	October	126.0100	126.5100	127.0100	NULL
2006-10-12	US DOLLAR	2006	October	126.0100	126.5100	127.0100	NULL
2006-10-13	US DOLLAR	2006	October	126.0100	126.5100	127.0100	NULL
2006-10-16	US DOLLAR	2006	October	126.0000	126.5000	127.0000	NULL
2006-10-17	US DOLLAR	2006	October	126.0000	126.5000	127.0000	NULL
2006-10-18	US DOLLAR	2006	October	126.0000	126.5000	127.0000	NULL
2006-10-19	US DOLLAR	2006	October	126.0000	126.5000	127.0000	NULL
2006-10-20	US DOLLAR	2006	October	126.0000	126.5000	127.0000	NULL
2006-10-25	US DOLLAR	2006	October	126.0200	126.5200	127.0200	NULL
2006-10-26	US DOLLAR	2006	October	126.0200	126.5200	127.0200	NULL
2006-10-27	US DOLLAR	2006	October	126.0200	126.5200	127.0200	NULL
2006-10-30	US DOLLAR	2006	October	126.0400	126.5400	127.0400	NULL
2006-10-31	US DOLLAR	2006	October	126.0400	126.5400	127.0400	NULL
2006-11-01	US DOLLAR	2006	November	126.0400	126.5400	127.0400	NULL
2006-11-02	US DOLLAR	2006	November	126.0400	126.5400	127.0400	NULL
2006-11-03	US DOLLAR	2006	November	126.0400	126.5400	127.0400	NULL
2006-11-06	US DOLLAR	2006	November	126.0300	126.5300	127.0300	NULL
2006-11-07	US DOLLAR	2006	November	126.0300	126.5300	127.0300	NULL
2006-11-08	US DOLLAR	2006	November	126.0200	126.5200	127.0200	NULL
2006-11-09	US DOLLAR	2006	November	126.0200	126.5200	127.0200	NULL
2006-11-10	US DOLLAR	2006	November	126.0200	126.5200	127.0200	NULL
2006-11-13	US DOLLAR	2006	November	126.0100	126.5100	127.0100	NULL
2006-11-14	US DOLLAR	2006	November	126.0100	126.5100	127.0100	NULL
2006-11-15	US DOLLAR	2006	November	126.0100	126.5100	127.0100	NULL
2006-11-16	US DOLLAR	2006	November	126.0100	126.5100	127.0100	NULL
2006-11-17	US DOLLAR	2006	November	126.0100	126.5100	127.0100	NULL
2006-11-20	US DOLLAR	2006	November	126.0100	126.5100	127.0100	NULL
2006-11-21	US DOLLAR	2006	November	126.0100	126.5100	127.0100	NULL
2006-11-22	US DOLLAR	2006	November	126.0000	126.5000	127.0000	NULL
2006-11-23	US DOLLAR	2006	November	126.0000	126.5000	127.0000	NULL
2006-11-24	US DOLLAR	2006	November	126.0000	126.5000	127.0000	NULL
2006-11-27	US DOLLAR	2006	November	126.0200	126.5200	127.0200	NULL
2006-11-28	US DOLLAR	2006	November	126.0200	126.5200	127.0200	NULL
2006-11-29	US DOLLAR	2006	November	126.0000	126.5000	127.0000	NULL
2006-11-30	US DOLLAR	2006	November	126.0000	126.5000	127.0000	NULL
2006-12-01	US DOLLAR	2006	December	126.0000	126.5000	127.0000	NULL
2006-12-04	US DOLLAR	2006	December	126.0300	126.5300	127.0300	NULL
2006-12-05	US DOLLAR	2006	December	126.0300	126.5300	127.0300	NULL
2006-12-06	US DOLLAR	2006	December	126.0500	126.5500	127.0500	NULL
2006-12-07	US DOLLAR	2006	December	126.0500	126.5500	127.0500	NULL
2006-12-08	US DOLLAR	2006	December	126.0500	126.5500	127.0500	NULL
2006-12-11	US DOLLAR	2006	December	126.0300	126.5300	127.0300	NULL
2006-12-12	US DOLLAR	2006	December	126.0300	126.5300	127.0300	NULL
2006-12-13	US DOLLAR	2006	December	126.0100	126.5100	127.0100	NULL
2006-12-14	US DOLLAR	2006	December	126.0100	126.5100	127.0100	NULL
2006-12-15	US DOLLAR	2006	December	126.0100	126.5100	127.0100	NULL
2006-12-18	US DOLLAR	2006	December	126.0100	126.5100	127.0100	NULL
2006-12-19	US DOLLAR	2006	December	126.0100	126.5100	127.0100	NULL
2006-12-20	US DOLLAR	2006	December	126.0000	126.5000	127.0000	NULL
2006-12-21	US DOLLAR	2006	December	126.0000	126.5000	127.0000	NULL
2006-12-22	US DOLLAR	2006	December	126.0000	126.5000	127.0000	NULL
2006-12-27	US DOLLAR	2006	December	126.0000	126.5000	127.0000	NULL
2006-12-28	US DOLLAR	2006	December	126.0000	126.5000	127.0000	NULL
2006-12-29	US DOLLAR	2006	December	126.0000	126.5000	127.0000	NULL
2007-01-04	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-05	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-08	US DOLLAR	2007	January	126.0100	126.5100	127.0100	NULL
2007-01-09	US DOLLAR	2007	January	126.0100	126.5100	127.0100	NULL
2007-01-10	US DOLLAR	2007	January	126.0200	126.5200	127.0200	NULL
2007-01-11	US DOLLAR	2007	January	126.0200	126.5200	127.0200	NULL
2007-01-12	US DOLLAR	2007	January	126.0200	126.5200	127.0200	NULL
2007-01-15	US DOLLAR	2007	January	126.0100	126.5100	127.0100	NULL
2007-01-16	US DOLLAR	2007	January	126.0100	126.5100	127.0100	NULL
2007-01-17	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-18	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-19	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-22	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-23	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-24	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-25	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-26	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-30	US DOLLAR	2007	January	126.0000	126.5000	127.0000	NULL
2007-01-31	US DOLLAR	2007	January	126.0100	126.5100	127.0100	NULL
2007-02-01	US DOLLAR	2007	February	126.0100	126.5100	127.0100	NULL
2007-02-02	US DOLLAR	2007	February	126.0100	126.5100	127.0100	NULL
2007-02-05	US DOLLAR	2007	February	126.0100	126.5100	127.0100	NULL
2007-02-06	US DOLLAR	2007	February	126.0100	126.5100	127.0100	NULL
2007-02-07	US DOLLAR	2007	February	126.0000	126.5000	127.0000	NULL
2007-02-08	US DOLLAR	2007	February	126.0000	126.5000	127.0000	NULL
2007-02-09	US DOLLAR	2007	February	126.0000	126.5000	127.0000	NULL
2007-02-12	US DOLLAR	2007	February	126.0000	126.5000	127.0000	NULL
2007-02-13	US DOLLAR	2007	February	126.0000	126.5000	127.0000	NULL
2007-02-14	US DOLLAR	2007	February	125.9800	126.4800	126.9800	NULL
2007-02-15	US DOLLAR	2007	February	125.9800	126.4800	126.9800	NULL
2007-02-16	US DOLLAR	2007	February	125.9800	126.4800	126.9800	NULL
2007-02-19	US DOLLAR	2007	February	125.9800	126.4800	126.9800	NULL
2007-02-20	US DOLLAR	2007	February	125.9800	126.4800	126.9800	NULL
2007-02-21	US DOLLAR	2007	February	126.0000	126.5000	127.0000	NULL
2007-02-22	US DOLLAR	2007	February	126.0000	126.5000	127.0000	NULL
2007-02-23	US DOLLAR	2007	February	126.0000	126.5000	127.0000	NULL
2007-02-26	US DOLLAR	2007	February	126.0100	126.5100	127.0100	NULL
2007-02-27	US DOLLAR	2007	February	126.0100	126.5100	127.0100	NULL
2007-02-28	US DOLLAR	2007	February	126.0100	126.5100	127.0100	NULL
2007-03-01	US DOLLAR	2007	March	126.0100	126.5100	127.0100	NULL
2007-03-02	US DOLLAR	2007	March	126.0100	126.5100	127.0100	NULL
2007-03-05	US DOLLAR	2007	March	125.9800	126.4800	126.9800	NULL
2007-03-06	US DOLLAR	2007	March	125.9800	126.4800	126.9800	NULL
2007-03-07	US DOLLAR	2007	March	125.9800	126.4800	126.9800	NULL
2007-03-08	US DOLLAR	2007	March	125.9800	126.4800	126.9800	NULL
2007-03-09	US DOLLAR	2007	March	125.9800	126.4800	126.9800	NULL
2007-03-12	US DOLLAR	2007	March	125.9600	126.4600	126.9600	NULL
2007-03-13	US DOLLAR	2007	March	125.9600	126.4600	126.9600	NULL
2007-03-14	US DOLLAR	2007	March	125.9600	126.4600	126.9600	NULL
2007-03-15	US DOLLAR	2007	March	125.9600	126.4600	126.9600	NULL
2007-03-16	US DOLLAR	2007	March	125.9600	126.4600	126.9600	NULL
2007-03-19	US DOLLAR	2007	March	125.8000	126.3000	126.8000	NULL
2007-03-20	US DOLLAR	2007	March	125.8000	126.3000	126.8000	NULL
2007-03-21	US DOLLAR	2007	March	125.8000	126.3000	126.8000	NULL
2007-03-22	US DOLLAR	2007	March	125.8000	126.3000	126.8000	NULL
2007-03-23	US DOLLAR	2007	March	125.8000	126.3000	126.8000	NULL
2007-03-26	US DOLLAR	2007	March	125.7900	126.2900	126.7900	NULL
2007-03-27	US DOLLAR	2007	March	125.7900	126.2900	126.7900	NULL
2007-03-28	US DOLLAR	2007	March	125.7900	126.2900	126.7900	NULL
2007-03-29	US DOLLAR	2007	March	125.7900	126.2900	126.7900	NULL
2007-04-03	US DOLLAR	2007	April	125.7900	126.2900	126.7900	NULL
2007-04-04	US DOLLAR	2007	April	125.7800	126.2800	126.7800	NULL
2007-04-05	US DOLLAR	2007	April	125.7800	126.2800	126.7800	NULL
2007-04-10	US DOLLAR	2007	April	125.7800	126.2800	126.7800	NULL
2007-04-11	US DOLLAR	2007	April	125.7800	126.2800	126.7800	NULL
2007-04-12	US DOLLAR	2007	April	125.7800	126.2800	126.7800	NULL
2007-04-13	US DOLLAR	2007	April	125.7800	126.2800	126.7800	NULL
2007-04-16	US DOLLAR	2007	April	125.7900	126.2900	126.7900	NULL
2007-04-17	US DOLLAR	2007	April	125.7900	126.2900	126.7900	NULL
2007-04-18	US DOLLAR	2007	April	125.7300	126.2300	126.7300	NULL
2007-04-19	US DOLLAR	2007	April	125.7300	126.2300	126.7300	NULL
2007-04-20	US DOLLAR	2007	April	125.7300	126.2300	126.7300	NULL
2007-04-23	US DOLLAR	2007	April	125.7200	126.2200	126.7200	NULL
2007-04-24	US DOLLAR	2007	April	125.7200	126.2200	126.7200	NULL
2007-04-25	US DOLLAR	2007	April	125.6000	126.1000	126.6000	NULL
2007-04-26	US DOLLAR	2007	April	125.6000	126.1000	126.6000	NULL
2007-04-27	US DOLLAR	2007	April	125.6000	126.1000	126.6000	NULL
2007-04-30	US DOLLAR	2007	April	125.6000	126.1000	126.6000	NULL
2007-05-02	US DOLLAR	2007	May	125.6000	126.1000	126.6000	NULL
2007-05-03	US DOLLAR	2007	May	125.6000	126.1000	126.6000	NULL
2007-05-04	US DOLLAR	2007	May	125.6000	126.1000	126.6000	NULL
2007-05-07	US DOLLAR	2007	May	125.3000	125.8000	126.3000	NULL
2007-05-08	US DOLLAR	2007	May	125.3000	125.8000	126.3000	NULL
